sampID,raw,trim,to.be.aligned,secondary.align,align,paired,R1.paired,R2.paired,align.paired,both.align.paired,one.align.paired,PCT_PF_ALIGNED,PF_BASES,PF_ALIGNED_BASES,CODING_BASES,UTR_BASES,INTRONIC_BASES,INTERGENIC_BASES,NUM_R1_TRANSCRIPT_STRAND_READS,NUM_R2_TRANSCRIPT_STRAND_READS,NUM_UNEXPLAINED_READS,PCT_R1_TRANSCRIPT_STRAND_READS,PCT_R2_TRANSCRIPT_STRAND_READS,PCT_CODING_BASES,PCT_UTR_BASES,PCT_INTRONIC_BASES,PCT_INTERGENIC_BASES,PCT_MRNA_BASES,PCT_USABLE_BASES,MEDIAN_CV_COVERAGE,MEDIAN_5PRIME_BIAS,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,to.be.aligned_filter,align_filter,paired_filter,R1.paired_filter,R2.paired_filter,align.paired_filter,both.align.paired_filter,one.align.paired_filter,to.be.aligned_filter.paired,align_filter.paired,paired_filter.paired,R1.paired_filter.paired,R2.paired_filter.paired,align.paired_filter.paired,both.align.paired_filter.paired,Assigned,Unassigned_NoFeatures,Unassigned_Ambiguity,Assigned_paired,Unassigned_NoFeatures_paired,Unassigned_Ambiguity_paired
AM10_AM_Media,86128242,85926379,231517618,149916790,231517618,81600828,40802441,40798387,81594792,81594792,6036,0.9958187758899647,3329946837,3316023583,1086474221,1203467664,440616927,585464771,359836,22917912,237659,0.015458,0.984542,0.327644,0.362925,0.132875,0.176556,0.690569,0.687681,0.854598,0.999282,0.098637,8.141784,51274706,51274706,51274706,25638725,25635981,51271616,51271616,3090,51271616,51271616,51271616,25635808,25635808,51271616,51271616,19078679,4842210,1718009,19076534,4841520,1717754
AM10_AM_TB,90225332,90101751,216878988,131049952,216878988,85829036,42918899,42910137,85818516,85818516,10520,0.996011717195374,3505319378,3491339173,1228247571,1237426888,503282828,522381886,392750,25101473,238474,0.015405,0.984595,0.351798,0.354428,0.144152,0.149622,0.706226,0.703409,0.853189,0.954989,0.108739,7.126953,58555955,58555955,58555955,29280871,29275084,58549780,58549780,6175,58549780,58549780,58549780,29274890,29274890,58549780,58549780,21861711,5602318,1817036,21857417,5600910,1816563
AM10_MDM_Media,83755236,83659732,215561611,135597211,215561611,79964400,39984228,39980172,79958504,79958504,5896,0.9960300190983148,3266143672,3253177144,1108545478,1094002495,516212077,534417094,337685,22251592,187936,0.014949,0.985051,0.340758,0.336287,0.158679,0.164275,0.677045,0.674357,0.830934,0.956614,0.116099,6.05514,52993433,52993433,52993433,26498148,26495285,52990234,52990234,3199,52990234,52990234,52990234,26495117,26495117,52990234,52990234,19080364,5806239,1611713,19078230,5805394,1611493
AM10_MDM_TB,78078356,78004825,211596522,136796924,211596522,74799598,37401663,37397935,74794106,74794106,5492,0.9959784887830042,3055804979,3043516025,1088329296,1103386769,337139118,514660842,322850,21992430,178105,0.014468,0.985532,0.357589,0.362537,0.110773,0.169101,0.720126,0.71723,0.850528,0.942045,0.104222,6.946951,47693800,47693800,47693800,23848156,23845644,47691018,47691018,2782,47691018,47691018,47691018,23845509,23845509,47691018,47691018,18606294,3634937,1607060,18604230,3634435,1606844
AM12_AM_Media,78949474,78890159,186997845,111310621,186997845,75687224,37845587,37841637,75681538,75681538,5686,0.9961402788454592,3092857106,3080919540,1155164306,1038290601,415479210,471985423,340234,22635395,211926,0.014808,0.985192,0.374941,0.337007,0.134856,0.153196,0.711948,0.7092,0.836501,0.908504,0.117235,6.135834,52940293,52940293,52940293,26471574,26468719,52937020,52937020,3273,52937020,52937020,52937020,26468510,26468510,52937020,52937020,20179251,4656921,1635611,20176916,4656225,1635369
AM12_AM_TB,84033428,83971488,201689563,121101034,201689563,80588529,40296314,40292215,80582714,80582714,5815,0.996114201703789,3293558498,3280760394,1269058154,1145217323,366613935,499870982,365114,24907874,225556,0.014447,0.985553,0.386818,0.349071,0.111747,0.152364,0.735889,0.733029,0.849645,0.971584,0.107328,6.634094,55805849,55805849,55805849,27904378,27901471,55802558,55802558,3291,55802558,55802558,55802558,27901279,27901279,55802558,55802558,22127366,3986749,1790455,22124849,3986195,1790235
AM12_MDM_Media,85705400,85639479,200473327,118545969,200473327,81927358,40965795,40961563,81921290,81921290,6068,0.9960668931419749,3347854883,3334687412,1269398067,1114477951,478355315,472456079,377712,24643790,224899,0.015095,0.984905,0.380665,0.334208,0.143448,0.141679,0.714872,0.712061,0.8204,0.940485,0.129274,5.67734,57683785,57683785,57683785,28843437,28840348,57680356,57680356,3429,57680356,57680356,57680356,28840178,28840178,57680356,57680356,21642401,5314826,1886380,21639973,5314078,1886127
AM12_MDM_TB,77642984,77581031,186574708,112361539,186574708,74213169,37108227,37104942,74208244,74208244,4925,0.9959354605517764,3032318952,3019993972,1142488797,1057522509,389248237,430734429,335838,22577620,205274,0.014657,0.985343,0.378308,0.350174,0.12889,0.142628,0.728482,0.725521,0.853121,0.968817,0.103376,7.371767,51075744,51075744,51075744,25539073,25536671,51073012,51073012,2732,51073012,51073012,51073012,25536506,25536506,51073012,51073012,19629613,4186477,1723148,19627632,4185946,1722928
AM15_AM_Media,82613922,82363269,212268894,134213042,212268894,78055852,39029835,39026017,78050428,78050428,5424,0.9954444348892478,3183759127,3169255305,1111960821,1111989767,386049865,559254852,353156,22679821,227841,0.015333,0.984667,0.350859,0.350868,0.121811,0.176463,0.701727,0.69853,0.835154,0.923632,0.127459,5.866082,50825823,50825823,50825823,25414221,25411602,50822840,50822840,2983,50822840,50822840,50822840,25411420,25411420,50822840,50822840,19444149,4236107,1734147,19441996,4235515,1733909
AM15_AM_TB,98692016,98330919,250019249,157354215,250019249,92665034,46334823,46330211,92658516,92658516,6518,0.9953863459312497,3777968556,3760538316,1284620871,1294434656,519595711,661887078,393212,26351263,243806,0.014703,0.985297,0.341606,0.344215,0.138171,0.176009,0.685821,0.682657,0.840196,0.886834,0.102552,6.6421,60714856,60714856,60714856,30358986,30355870,60711364,60711364,3492,60711364,60711364,60711364,30355682,30355682,60711364,60711364,22679409,5680795,1998970,22676941,5680050,1998691
AM15_MDM_Media,99998570,99636561,285605575,191779308,285605575,93826267,46915329,46910938,93820234,93820234,6033,0.9950553474860537,3824345785,3805435724,1228667061,1394040962,454013431,728714270,401820,26151507,216428,0.015133,0.984867,0.322872,0.366329,0.119307,0.191493,0.6892,0.685793,0.822739,0.871912,0.11857,5.617037,56548648,56548648,56548648,28275652,28272996,56545658,56545658,2990,56545658,56545658,56545658,28272829,28272829,56545658,56545658,21418793,4727764,2129262,21416597,4727208,2129024
AM15_MDM_TB,88166840,87920567,242173473,158974017,242173473,83199456,41601756,41597700,83193806,83193806,5650,0.9952527915046997,3393626384,3377516132,1105274796,1225537060,437140615,609563661,339108,23289038,175519,0.014352,0.985648,0.327245,0.362852,0.129427,0.180477,0.690096,0.68682,0.847299,0.868275,0.108988,5.794168,52022228,52022228,52022228,26012369,26009859,52019318,52019318,2910,52019318,52019318,52019318,26009659,26009659,52019318,52019318,19683426,4520997,1808146,19681288,4520444,1807927
AM17_AM_Media,82148326,81947557,218095094,140376714,218095094,77718380,38861164,38857216,77712988,77712988,5392,0.9956392513986674,3171119976,3157291519,1045194651,1109628773,445034196,557433899,376645,21638814,203840,0.017108,0.982892,0.331042,0.35145,0.140954,0.176554,0.682491,0.679515,0.835863,0.894559,0.124752,5.473701,49761729,49761729,49761729,24882133,24879596,49758880,49758880,2849,49758880,49758880,49758880,24879440,24879440,49758880,49758880,18308013,4931146,1643130,18306034,4930487,1642919
AM17_AM_TB,89738340,89533442,220551669,135795470,220551669,84756199,42382378,42373821,84746024,84746024,10175,0.9957835062369275,3459051482,3444466413,1106525728,1139362167,638248257,560330261,394114,22716971,212092,0.017053,0.982947,0.321247,0.33078,0.185297,0.162675,0.652028,0.649279,0.840907,0.91579,0.112017,6.293279,57226267,57226267,57226267,28615963,28610304,57220184,57220184,6083,57220184,57220184,57220184,28610092,28610092,57220184,57220184,19706201,7207636,1702338,19702257,7205953,1701882
AM17_MDM_Media,100377274,100175714,217381758,138913767,217381758,78467991,39236111,39231880,78462492,78462492,5499,0.9956958331203567,3202698312,3188913364,1110796510,1152263169,400110478,525743207,348427,22955629,196413,0.014951,0.985049,0.348331,0.361334,0.125469,0.164866,0.709665,0.70661,0.825082,0.906945,0.120767,5.836842,50872052,50872052,50872052,25437396,25434656,50868988,50868988,3064,50868988,50868988,50868988,25434494,25434494,50868988,50868988,19369147,4266648,1801763,19366921,4266029,1801544
AM17_MDM_TB,87735418,87563229,235202285,151983478,235202285,83218807,41611571,41607236,83212800,83212800,6007,0.995717229004148,3396980603,3382432113,1175232498,1252588933,391865845,562744837,359139,24458120,216181,0.014471,0.985529,0.347452,0.370322,0.115853,0.166373,0.717774,0.7147,0.846156,0.956781,0.109538,6.715867,53096323,53096323,53096323,26549602,26546721,53093104,53093104,3219,53093104,53093104,53093104,26546552,26546552,53093104,53093104,20541467,4096554,1911750,20539075,4095977,1911500
AM18_AM_Media,86361908,86295075,207212912,124649238,207212912,82563674,41283981,41279693,82557474,82557474,6200,0.9962917424610666,3373924510,3361413129,1210629651,1185345480,461382398,504055600,387977,24762839,251965,0.015426,0.984574,0.360155,0.352633,0.137258,0.149953,0.712788,0.710145,0.840553,0.94689,0.114768,6.86327,56398676,56398676,56398676,28200883,28197793,56395188,56395188,3488,56395188,56395188,56395188,28197594,28197594,56395188,56395188,21206188,5091084,1903810,21203703,5090356,1903535
AM18_AM_TB,89211248,89146279,217367970,132067483,217367970,85300487,42652298,42648189,85294482,85294482,6005,0.9962981906814126,3486369202,3473463328,1244486930,1249982417,458480080,520513901,386107,25751819,244049,0.014772,0.985228,0.358284,0.359866,0.131995,0.149854,0.71815,0.715492,0.844913,0.939762,0.100183,6.954845,57615189,57615189,57615189,28809028,28806161,57611910,57611910,3279,57611910,57611910,57611910,28805955,28805955,57611910,57611910,21898364,4968950,1941920,21896017,4968285,1941653
AM18_MDM_Media,87934816,87860631,237371478,153262732,237371478,84108746,42056505,42052241,84102724,84102724,6022,0.9961214916688629,3436704491,3423375204,1146100258,1266236954,455799905,555238087,359060,24355140,189017,0.014528,0.985472,0.334787,0.36988,0.133143,0.16219,0.704666,0.701933,0.821264,0.905755,0.11543,6.236733,53860362,53860362,53860362,26931596,26928766,53857110,53857110,3252,53857110,53857110,53857110,26928555,26928555,53857110,53857110,20110834,4958012,1862961,20108514,4957315,1862726
AM18_MDM_TB,80197048,80124386,222848068,146213972,222848068,76634096,38318615,38315481,76629174,76629174,4922,0.9960767503728829,3130805115,3118522185,1038262431,1202568887,363696148,513994719,317485,22459959,164098,0.013939,0.986061,0.332934,0.385621,0.116625,0.16482,0.718556,0.715736,0.849864,0.899356,0.098265,6.679345,47858237,47858237,47858237,23930203,23928034,47855758,47855758,2479,47855758,47855758,47855758,23927879,23927879,47855758,47855758,18439752,3804081,1686525,18437925,3803609,1686345
AM19_AM_Media,80563986,80506198,180371887,103423884,180371887,76948003,38475882,38472121,76942720,76942720,5283,0.9960724138343074,3144907961,3132556064,1060687456,1032552822,601249854,438065932,339635,21636078,197332,0.015455,0.984545,0.338601,0.32962,0.191936,0.139843,0.668221,0.665597,0.851457,0.889703,0.102005,6.690171,55053382,55053382,55053382,27528042,27525340,55050246,55050246,3136,55050246,55050246,55050246,27525123,27525123,55050246,55050246,19027416,6922522,1578321,19025367,6921628,1578128
AM19_AM_TB,95004980,94931232,214863637,124298355,214863637,90565282,45285104,45280178,90558636,90558636,6646,0.9960416706880112,3701239297,3686588573,1258473725,1253055821,669169189,505889838,404890,25921162,230426,0.01538,0.98462,0.341365,0.339896,0.181514,0.137224,0.681261,0.678564,0.851982,0.894814,0.100204,6.930283,64144087,64144087,64144087,32073833,32070254,64140064,64140064,4023,64140064,64140064,64140064,32070032,32070032,64140064,64140064,22647482,7543674,1882899,22644818,7542539,1882675
AM19_MDM_Media,88315516,88239019,233397732,148982325,233397732,84415407,42209660,42205747,84410022,84410022,5385,0.9958023526493808,3449246397,3434767677,1222151845,1278170545,401208073,533237214,374997,25344597,198493,0.01458,0.98542,0.355818,0.372127,0.116808,0.155247,0.727945,0.724889,0.817423,0.902996,0.115461,6.086863,54644790,54644790,54644790,27323663,27321127,54641928,54641928,2862,54641928,54641928,54641928,27320964,27320964,54641928,54641928,21099024,4248060,1976742,21096932,4247533,1976499
AM19_MDM_TB,82532368,82455291,214112574,135185238,214112574,78927336,39465627,39461709,78921894,78921894,5442,0.9958071741664674,3225243198,3211720315,1156414401,1199197173,365995237,490113504,348726,23871883,184502,0.014398,0.985602,0.360061,0.373382,0.113956,0.152602,0.733442,0.730367,0.850328,0.938193,0.104989,6.977031,51804455,51804455,51804455,25903516,25900939,51801590,51801590,2865,51801590,51801590,51801590,25900795,25900795,51801590,51801590,20270681,3778988,1853991,20268474,3778518,1853803
